Название,Компания,Зарплата,Ссылка,Регион,Дата,Опыт работы,Территория_ВО,Категория
Персональный водитель,Мария Николаевна Моделкина,от 60000 руб.,https://hh.ru/vacancy/116710368,Владимир,03.02.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
Бухгалтер по расчетам с контрагентами,ГУП ДСУ-3,от 60000 руб.,https://hh.ru/vacancy/116761514,Владимир,04.02.2025,Данные отсутствуют,Город Владимир,"Финансы, бухгалтерия"
Инженер,ИнфоЦентр,75000-100000 руб.,https://hh.ru/vacancy/116839811,Владимир,06.02.2025,Данные отсутствуют,Город Владимир,"Производство, сервисное обслуживание"
Офис--менеджер (секретарь),Атмосфера,40000-60000 руб.,https://hh.ru/vacancy/116770413,Владимир,04.02.2025,Данные отсутствуют,Город Владимир,Административный персонал
Специалист по защите информации (сектор документооборота),ИнфоЦентр,75000-100000 руб.,https://hh.ru/vacancy/116839813,Владимир,06.02.2025,Данные отсутствуют,Город Владимир,Информационные технологии
Специалист по кадрам,КИД Медика,от 50000 руб.,https://hh.ru/vacancy/116814903,Владимир,05.02.2025,Данные отсутствуют,Город Владимир,"Управление персоналом, тренинги"
Младший специалист по тестированию (Junior QA),Организация качества,35000-35000 руб.,https://hh.ru/vacancy/116363038,Владимир,27.01.2025,Данные отсутствуют,Город Владимир,Информационные технологии
Менеджер по подбору персонала,АРГУС,50000-70000 руб.,https://hh.ru/vacancy/116830980,Владимир,06.02.2025,Данные отсутствуют,Город Владимир,"Управление персоналом, тренинги"
Специалист отдела выставления счетов,ИЗМЕТАЛЛА,48000-48000 руб.,https://hh.ru/vacancy/116885695,Владимир,07.02.2025,Данные отсутствуют,Город Владимир,Другое
Бухгалтер,ФМ,70000-70000 руб.,https://hh.ru/vacancy/116723139,Владимир,03.02.2025,Данные отсутствуют,Город Владимир,"Финансы, бухгалтерия"
Главный бухгалтер,Атмосфера,80000-80000 руб.,https://hh.ru/vacancy/116764884,Владимир,04.02.2025,Данные отсутствуют,Город Владимир,"Финансы, бухгалтерия"
Руководитель филиала,ПартКом,Данные отсутствуют,https://hh.ru/vacancy/116882762,Владимир,07.02.2025,Данные отсутствуют,Город Владимир,Высший и средний менеджмент
Управляющий отелем,ТЕЗА-СТРОЙ,от 75000 руб.,https://hh.ru/vacancy/116841892,Владимир,06.02.2025,Данные отсутствуют,Город Владимир,Высший и средний менеджмент
Manual QA Engineer,Altenar,Данные отсутствуют,https://hh.ru/vacancy/108532636,Владимир,13.01.2025,Данные отсутствуют,Город Владимир,Информационные технологии
Начальник отдела по связям с общественностью и СМИ,Государственный Владимиро-Суздальский музей-заповедник,67000-100000 руб.,https://hh.ru/vacancy/116758615,Владимир,04.02.2025,Данные отсутствуют,Город Владимир,Другое
Кладовщик-комплектовщик,"МC-Груп, Группа компаний",65000-75000 руб.,https://hh.ru/vacancy/116885065,Владимир,07.02.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
Вечерний специалист по оформлению документов в отдел сервиса,ПРАВОКАРД,20000-40000 руб.,https://hh.ru/vacancy/116107642,Владимир,22.01.2025,Данные отсутствуют,Город Владимир,Другое
Специалист по кадровому делопроизводству,33 Болта,60000-60000 руб.,https://hh.ru/vacancy/116750007,Владимир,07.02.2025,Данные отсутствуют,Город Владимир,Административный персонал
Специалист по сканированию документов,Филиал Публично-Правовой компании Роскадастр по Владимирской Области,8000-40000 руб.,https://hh.ru/vacancy/115480287,Владимир,14.01.2025,Данные отсутствуют,Город Владимир,Другое
Middle Vue Frontend-разработчик,КайКом экспертс,Данные отсутствуют,https://hh.ru/vacancy/116579029,Владимир,30.01.2025,Данные отсутствуют,Город Владимир,Информационные технологии
Помощник главного бухгалтера,Эмеральд Экотехнологии,75000-75000 руб.,https://hh.ru/vacancy/116580380,Владимир,30.01.2025,Данные отсутствуют,Город Владимир,"Финансы, бухгалтерия"
Водитель-экспедитор,ОНЛАЙН ТРЕЙД.РУ,87000-98000 руб.,https://hh.ru/vacancy/116682093,Владимир,03.02.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
Бухгалтер по расчету заработной платы,Экстра-Соя,80000-80000 руб.,https://hh.ru/vacancy/116711536,Владимир,06.02.2025,Данные отсутствуют,Город Владимир,"Финансы, бухгалтерия"
Помощник по хозяйству/ 3 раза в неделю,"НПП Макромер,ООО",Данные отсутствуют,https://hh.ru/vacancy/115408160,Владимир,05.02.2025,Данные отсутствуют,Город Владимир,"Домашний, обслуживающий персонал"
Водитель категории D (GAZelle Next),ВладСК,от 80000 руб.,https://hh.ru/vacancy/116685391,Владимир,03.02.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
Офис-менеджер,Империя Чистоты,от 40000 руб.,https://hh.ru/vacancy/116737615,Владимир,04.02.2025,Данные отсутствуют,Город Владимир,Административный персонал
Юрисконсульт,Владимирская Дверная Компания,от 62000 руб.,https://hh.ru/vacancy/116804375,Владимир,05.02.2025,Данные отсутствуют,Город Владимир,Юристы
Менеджер по транспортной логистике,Юнт-Прод,от 60000 руб.,https://hh.ru/vacancy/116841470,Владимир,06.02.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
Заместитель директора по кадровым и социальным вопросам,Почта России,от 100000 руб.,https://hh.ru/vacancy/116828941,Владимир,06.02.2025,Данные отсутствуют,Город Владимир,"Управление персоналом, тренинги"
Кладовщик-наборщик,Лавриненко Иван Евгеньевич,от 85000 руб.,https://hh.ru/vacancy/116824185,Владимир,06.02.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
QA Engineer / Тестировщик ПО,Hawking Bros,60000-80000 руб.,https://hh.ru/vacancy/116329320,Владимир,27.01.2025,Данные отсутствуют,Город Владимир,Информационные технологии
Инженер по безопасности музейных предметов,Государственный Владимиро-Суздальский музей-заповедник,46000-69000 руб.,https://hh.ru/vacancy/116760737,Владимир,04.02.2025,Данные отсутствуют,Город Владимир,"Производство, сервисное обслуживание"
Дизайнер,ЗСО МАРКЕТ,Данные отсутствуют,https://hh.ru/vacancy/116611220,Владимир,06.02.2025,Данные отсутствуют,Город Владимир,"Искусство, развлечения, массмедиа"
Экономист,ГАУ ВЛАДИМИРСКОЙ ОБЛАСТИ ВЛАДИМИРСКИЙ АВТОВОКЗАЛ,62626-62626 руб.,https://hh.ru/vacancy/116773375,Владимир,05.02.2025,Данные отсутствуют,Город Владимир,"Финансы, бухгалтерия"
Менеджер по продажам (без поиска клиентов),Мир Дерева Владимир,от 70000 руб.,https://hh.ru/vacancy/116758040,Владимир,07.02.2025,Данные отсутствуют,Город Владимир,"Продажи, обслуживание клиентов"
Рерайтер,медиа-платформа ProГород Владимир,от 45000 руб.,https://hh.ru/vacancy/115913669,Владимир,20.01.2025,Данные отсутствуют,Город Владимир,Другое
Администратор,МБУК Центральный парк культуры и отдыха,от 40000 руб.,https://hh.ru/vacancy/116570469,Владимир,30.01.2025,Данные отсутствуют,Город Владимир,Другое
Маркетолог,Медсервис,от 120000 руб.,https://hh.ru/vacancy/116764773,Владимир,07.02.2025,Данные отсутствуют,Город Владимир,"Маркетинг, реклама, PR"
Комплектовщик,Владимирская мануфактура Альва,от 60000 руб.,https://hh.ru/vacancy/116759523,Владимир,04.02.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
Администратор фитнес-клуба,Фитнесс пространство,от 40000 руб.,https://hh.ru/vacancy/116647542,Владимир,01.02.2025,Данные отсутствуют,Город Владимир,"Спортивные клубы, фитнес, салоны красоты"
Дорожный рабочий,ВладСК,от 70000 руб.,https://hh.ru/vacancy/116714720,Владимир,03.02.2025,Данные отсутствуют,Город Владимир,Другое
Event-менеджер,ГКУ ВО ЦЗН Владимирской области,от 50000 руб.,https://hh.ru/vacancy/116056531,Владимир,28.01.2025,Данные отсутствуют,Город Владимир,Другое
Приемщик-сдатчик,Abi,от 41700 руб.,https://hh.ru/vacancy/116903342,Владимир,07.02.2025,Данные отсутствуют,Город Владимир,Другое
Руководитель проектов,Аби Девелопмент,Данные отсутствуют,https://hh.ru/vacancy/116737658,Владимир,04.02.2025,Данные отсутствуют,Город Владимир,Высший и средний менеджмент
Администратор салона красоты,Группа компаний «Zalevsky Group»,от 70000 руб.,https://hh.ru/vacancy/116599604,Владимир,31.01.2025,Данные отсутствуют,Город Владимир,Другое
