Name;FederalDistrictName
Алтайский край;Сибирский федеральный округ
Амурская область;Дальневосточный федеральный округ
Архангельская область;Северо-Западный федеральный округ
Астраханская область;Южный федеральный округ
Белгородская область;Центральный федеральный округ
Брянская область;Центральный федеральный округ
Владимирская область;Центральный федеральный округ
Волгоградская область;Южный федеральный округ
Вологодская область;Северо-Западный федеральный округ
Воронежская область;Центральный федеральный округ
Москва;Центральный федеральный округ
Санкт-Петербург;Северо-Западный федеральный округ
Севастополь;Южный федеральный округ
Еврейская автономная область;Дальневосточный федеральный округ
Забайкальский край;Сибирский федеральный округ
Ивановская область;Центральный федеральный округ
Иркутская область;Сибирский федеральный округ
Кабардино-Балкарская республика;Северо?Кавказский федеральный округ
Калининградская область;Северо-Западный федеральный округ
Калужская область;Центральный федеральный округ
Камчатский край;Дальневосточный федеральный округ
Карачаево-Черкесская республика;Северо?Кавказский федеральный округ
Кемеровская область;Сибирский федеральный округ
Кировская область;Приволжский федеральный округ
Костромская область;Центральный федеральный округ
Краснодарский край;Южный федеральный округ
Красноярский край;Сибирский федеральный округ
Курганская область;Уральский федеральный округ
Курская область;Центральный федеральный округ
Ленинградская область;Северо-Западный федеральный округ
Липецкая область;Центральный федеральный округ
Магаданская область;Дальневосточный федеральный округ
Московская область;Центральный федеральный округ
Мурманская область;Северо-Западный федеральный округ
Ненецкий автономный округ;Северо-Западный федеральный округ
Нижегородская область;Приволжский федеральный округ
Новгородская область;Северо-Западный федеральный округ
Новосибирская область;Сибирский федеральный округ
Омская область;Сибирский федеральный округ
Оренбургская область;Приволжский федеральный округ
Орловская область;Центральный федеральный округ
Пензенская область;Приволжский федеральный округ
Пермский край;Приволжский федеральный округ
Приморский край;Дальневосточный федеральный округ
Псковская область;Северо-Западный федеральный округ
Республика Адыгея;Южный федеральный округ
Республика Алтай;Сибирский федеральный округ
Республика Башкортостан;Приволжский федеральный округ
Республика Бурятия;Сибирский федеральный округ
Республика Дагестан;Северо?Кавказский федеральный округ
Республика Ингушетия;Северо?Кавказский федеральный округ
Республика Калмыкия;Южный федеральный округ
Республика Карелия;Северо-Западный федеральный округ
Республика Коми;Северо-Западный федеральный округ
Республика Крым;Южный федеральный округ
Республика Марий Эл;Приволжский федеральный округ
Республика Мордовия;Приволжский федеральный округ
Республика Саха (Якутия);Дальневосточный федеральный округ
Республика Северная Осетия - Алания;Северо?Кавказский федеральный округ
Республика Татарстан;Приволжский федеральный округ
Республика Тыва;Сибирский федеральный округ
Республика Хакасия;Сибирский федеральный округ
Ростовская область;Южный федеральный округ
Рязанская область;Центральный федеральный округ
Самарская область;Приволжский федеральный округ
Саратовская область;Приволжский федеральный округ
Сахалинская область;Дальневосточный федеральный округ
Свердловская область;Уральский федеральный округ
Смоленская область;Центральный федеральный округ
Ставропольский край;Северо?Кавказский федеральный округ
Тамбовская область;Центральный федеральный округ
Тверская область;Центральный федеральный округ
Томская область;Сибирский федеральный округ
Тульская область;Центральный федеральный округ
Тюменская область;Уральский федеральный округ
Удмуртская республика;Приволжский федеральный округ
Ульяновская область;Приволжский федеральный округ
Хабаровский край;Дальневосточный федеральный округ
Ханты-Мансийский автономный округ - Югра;Уральский федеральный округ
Челябинская область;Уральский федеральный округ
Чеченская республика;Северо?Кавказский федеральный округ
Чувашская республика;Приволжский федеральный округ
Чукотский автономный округ;Дальневосточный федеральный округ
Ямало-Ненецкий автономный округ;Уральский федеральный округ
Ярославская область;Центральный федеральный округ
